pathname,size,downloadedBytes,uploadedAt,etag,url,downloadUrl,localPath
thumbnails/IMG_9694 (1)-imrF8cRo12lMw3ji3OvlKe4wqiChR1.HEIC,1125874,1125874,2026-04-03T16:49:06.000Z,"""d54bf42229b97c6a1455e7de0c475c2e""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694%20%281%29-imrF8cRo12lMw3ji3OvlKe4wqiChR1.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694%20%281%29-imrF8cRo12lMw3ji3OvlKe4wqiChR1.HEIC?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/IMG_9694 (1)-imrF8cRo12lMw3ji3OvlKe4wqiChR1.HEIC
thumbnails/IMG_9694-265XYxCja9XR8xbrH5FUI6sCSsWgXq.HEIC,1125874,1125874,2026-04-03T16:54:28.000Z,"""d54bf42229b97c6a1455e7de0c475c2e""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694-265XYxCja9XR8xbrH5FUI6sCSsWgXq.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694-265XYxCja9XR8xbrH5FUI6sCSsWgXq.HEIC?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/IMG_9694-265XYxCja9XR8xbrH5FUI6sCSsWgXq.HEIC
thumbnails/IMG_9694-GMfzn0IZqE67bp8HpE2noIqaguB81K.HEIC,1125874,1125874,2026-04-03T20:54:47.000Z,"""d54bf42229b97c6a1455e7de0c475c2e""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694-GMfzn0IZqE67bp8HpE2noIqaguB81K.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694-GMfzn0IZqE67bp8HpE2noIqaguB81K.HEIC?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/IMG_9694-GMfzn0IZqE67bp8HpE2noIqaguB81K.HEIC
thumbnails/IMG_9694-rLb20EL99zT13ZFfx5JATXuUpfUpOx.HEIC,1125874,1125874,2026-04-02T04:03:41.000Z,"""d54bf42229b97c6a1455e7de0c475c2e""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694-rLb20EL99zT13ZFfx5JATXuUpfUpOx.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694-rLb20EL99zT13ZFfx5JATXuUpfUpOx.HEIC?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/IMG_9694-rLb20EL99zT13ZFfx5JATXuUpfUpOx.HEIC
thumbnails/IMG_9697-6rLz4s5NRm1Xvqm9BxfBp7oaIi7sID.HEIC,1565514,1565514,2026-03-30T19:10:40.000Z,"""8c48c082ad055cf15cf3561c641f404c""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9697-6rLz4s5NRm1Xvqm9BxfBp7oaIi7sID.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9697-6rLz4s5NRm1Xvqm9BxfBp7oaIi7sID.HEIC?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/IMG_9697-6rLz4s5NRm1Xvqm9BxfBp7oaIi7sID.HEIC
thumbnails/IMG_9697-U31leH8vmWA0H9myzSuFcDKDCjOev4.HEIC,1565514,1565514,2026-03-30T19:40:51.000Z,"""8c48c082ad055cf15cf3561c641f404c""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9697-U31leH8vmWA0H9myzSuFcDKDCjOev4.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9697-U31leH8vmWA0H9myzSuFcDKDCjOev4.HEIC?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/IMG_9697-U31leH8vmWA0H9myzSuFcDKDCjOev4.HEIC
thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-WdQyuQGWbiZVBhyPyevOzXLNr7Nrmq.JPG,359077,359077,2026-04-03T16:53:37.000Z,"""424c2ef474312d6bf2245d72f90816cc""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-WdQyuQGWbiZVBhyPyevOzXLNr7Nrmq.JPG,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-WdQyuQGWbiZVBhyPyevOzXLNr7Nrmq.JPG?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-WdQyuQGWbiZVBhyPyevOzXLNr7Nrmq.JPG
thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-rUyjqotIzzJX1sFSo0Ufzy4aPVz7cs.JPG,359077,359077,2026-04-02T04:02:26.000Z,"""424c2ef474312d6bf2245d72f90816cc""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-rUyjqotIzzJX1sFSo0Ufzy4aPVz7cs.JPG,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-rUyjqotIzzJX1sFSo0Ufzy4aPVz7cs.JPG?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-rUyjqotIzzJX1sFSo0Ufzy4aPVz7cs.JPG
thumbnails/indoor-sofa-Ud0njqLf3pfoO3t5G6qqqDYt3XuDdq.jpg,47241,47241,2026-03-30T18:38:53.000Z,"""233c33ac8b9b63657a9feae93f8a6e77""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/indoor-sofa-Ud0njqLf3pfoO3t5G6qqqDYt3XuDdq.jpg,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/indoor-sofa-Ud0njqLf3pfoO3t5G6qqqDYt3XuDdq.jpg?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/indoor-sofa-Ud0njqLf3pfoO3t5G6qqqDYt3XuDdq.jpg
thumbnails/indoor-sofa.jpg,47241,47241,2026-03-30T18:36:46.000Z,"""233c33ac8b9b63657a9feae93f8a6e77""",https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/indoor-sofa.jpg,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/indoor-sofa.jpg?download=1,/Users/astra/Documents/GitHub/memories-relive/backups/vercel-blob-thumbnails-2026-04-29_04-46-08/thumbnails/indoor-sofa.jpg
